epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4732,1.28798,1.80478,1.03122,0.96266,0.3302,0.81416,0.5483,1.14714,2.24283,0.95851,0.000647059,0.000647059,0.000647059
2,20.0178,1.18409,0.9783,1.01862,0.89559,0.6225,0.82048,0.54641,1.16839,1.94048,0.99707,0.00128771,0.00128771,0.00128771
3,27.4563,1.17499,0.88648,1.01567,0.77854,0.82604,0.8533,0.54515,1.23274,1.26774,1.04461,0.00190197,0.00190197,0.00190197
4,34.9103,1.18897,0.85292,1.01166,0.83702,0.84409,0.89418,0.61005,1.11427,0.8939,1.00792,0.0018812,0.0018812,0.0018812
5,42.3414,1.10558,0.80066,0.98682,0.82448,0.89328,0.92994,0.64648,1.10095,0.80633,1.01905,0.0018416,0.0018416,0.0018416
6,49.7933,1.09733,0.75469,0.98244,0.8578,0.88198,0.93783,0.6577,1.09312,0.7675,1.00053,0.001802,0.001802,0.001802
7,57.1789,1.10417,0.73914,0.98889,0.86937,0.87727,0.94023,0.6663,1.0709,0.72828,0.99065,0.0017624,0.0017624,0.0017624
8,64.5556,1.1003,0.73902,0.99577,0.89674,0.88367,0.94783,0.66502,1.104,0.68743,1.01012,0.0017228,0.0017228,0.0017228
9,71.9517,1.07631,0.70755,0.97446,0.8687,0.92498,0.95643,0.6785,1.04975,0.68296,1.00401,0.0016832,0.0016832,0.0016832
10,79.3374,1.07317,0.67185,0.97941,0.91415,0.88794,0.96472,0.67892,1.05666,0.62033,1.00288,0.0016436,0.0016436,0.0016436
11,86.7053,1.06581,0.65732,0.98026,0.88731,0.91592,0.96149,0.68802,1.043,0.63605,0.98606,0.001604,0.001604,0.001604
12,94.0449,1.04491,0.62928,0.96722,0.89838,0.91355,0.95973,0.67366,1.06749,0.72735,1.00536,0.0015644,0.0015644,0.0015644
13,101.436,1.05088,0.65895,0.97706,0.87792,0.90928,0.94917,0.68201,1.04607,0.63186,0.99503,0.0015248,0.0015248,0.0015248
14,108.778,1.0288,0.63447,0.96503,0.86761,0.89541,0.94389,0.67995,1.04333,0.65776,0.98246,0.0014852,0.0014852,0.0014852
15,116.124,1.02062,0.6289,0.96227,0.90236,0.88772,0.95766,0.70062,1.00366,0.59027,0.97548,0.0014456,0.0014456,0.0014456
16,123.498,1.00557,0.5933,0.95471,0.89656,0.91676,0.96268,0.69794,1.03863,0.59461,0.98463,0.001406,0.001406,0.001406
17,130.805,1.0113,0.59693,0.96412,0.91103,0.89755,0.96049,0.6962,1.03837,0.59236,0.98838,0.0013664,0.0013664,0.0013664
18,138.172,1.02398,0.59751,0.96574,0.87971,0.90538,0.94192,0.67313,1.01962,0.63051,0.98293,0.0013268,0.0013268,0.0013268
19,145.534,1.01238,0.57712,0.9579,0.93126,0.89007,0.97107,0.69732,1.0397,0.5706,0.9876,0.0012872,0.0012872,0.0012872
20,152.826,1.00028,0.57392,0.95982,0.91531,0.91462,0.96897,0.70637,1.01324,0.58301,0.98232,0.0012476,0.0012476,0.0012476
21,160.148,0.99273,0.57384,0.95511,0.91173,0.91249,0.96681,0.69961,1.00593,0.56689,0.97294,0.001208,0.001208,0.001208
22,167.518,0.98287,0.57317,0.94866,0.88988,0.90502,0.95416,0.68946,1.02237,0.61093,0.98891,0.0011684,0.0011684,0.0011684
23,174.832,0.98504,0.5787,0.95586,0.90068,0.91569,0.96144,0.70895,0.9983,0.5821,0.97241,0.0011288,0.0011288,0.0011288
24,182.182,0.97657,0.55048,0.94808,0.90854,0.93291,0.96403,0.70831,1.01454,0.54226,0.97794,0.0010892,0.0010892,0.0010892
25,189.498,0.96976,0.55044,0.9459,0.93593,0.89755,0.96818,0.71538,0.99565,0.53045,0.97173,0.0010496,0.0010496,0.0010496
26,196.818,0.96018,0.53762,0.94291,0.90073,0.9317,0.96867,0.71474,1.00687,0.53458,0.97707,0.00101,0.00101,0.00101
27,204.094,0.95416,0.53257,0.94093,0.89738,0.92102,0.9588,0.70209,1.00539,0.55269,0.97944,0.0009704,0.0009704,0.0009704
