epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6755,1.30336,2.08361,1.03272,0.91678,0.10582,0.35539,0.22259,1.14936,2.64025,0.95144,0.000647059,0.000647059,0.000647059
2,19.7303,1.21042,1.06742,1.02789,0.90421,0.27202,0.69289,0.46023,1.17494,2.24797,1.00177,0.00128771,0.00128771,0.00128771
3,27.6814,1.18993,0.96585,1.01865,0.84834,0.77013,0.88334,0.58936,1.18646,1.4824,1.01452,0.00190197,0.00190197,0.00190197
4,35.5714,1.17447,0.9173,1.0125,0.87505,0.82604,0.91222,0.61325,1.10442,1.09233,0.98963,0.0018812,0.0018812,0.0018812
5,43.4034,1.13306,0.85049,0.99517,0.8235,0.87834,0.90914,0.61799,1.15046,0.99175,1.04669,0.0018416,0.0018416,0.0018416
6,51.2764,1.11541,0.79201,0.98749,0.87477,0.87193,0.94173,0.65953,1.07734,0.7844,0.9989,0.001802,0.001802,0.001802
7,59.0523,1.105,0.7936,0.98976,0.81473,0.88367,0.91826,0.62843,1.15348,0.81406,1.04601,0.0017624,0.0017624,0.0017624
8,66.8375,1.11774,0.78357,1.00039,0.85985,0.92325,0.94487,0.65616,1.11228,0.70765,1.01946,0.0017228,0.0017228,0.0017228
9,74.5903,1.07854,0.73546,0.97703,0.85611,0.873,0.92894,0.65714,1.05359,0.71284,0.99446,0.0016832,0.0016832,0.0016832
10,82.3997,1.08394,0.71115,0.98425,0.85669,0.91868,0.94962,0.66162,1.09386,0.66644,1.00864,0.0016436,0.0016436,0.0016436
11,90.2089,1.08371,0.69549,0.98225,0.86211,0.90075,0.95436,0.68531,1.0324,0.65626,0.98155,0.001604,0.001604,0.001604
12,97.9765,1.05858,0.66941,0.97477,0.86437,0.90395,0.94732,0.67115,1.03798,0.68581,0.98729,0.0015644,0.0015644,0.0015644
13,105.793,1.04928,0.68496,0.9697,0.89995,0.87407,0.95217,0.68373,1.04835,0.66491,0.98152,0.0015248,0.0015248,0.0015248
14,113.55,1.02852,0.66474,0.96221,0.89258,0.89563,0.9539,0.67613,1.0742,0.63288,0.98671,0.0014852,0.0014852,0.0014852
15,121.312,1.0288,0.65261,0.96325,0.90261,0.91,0.961,0.69011,1.03506,0.60665,0.99218,0.0014456,0.0014456,0.0014456
16,129.086,1.02599,0.63166,0.96099,0.89081,0.92209,0.96264,0.68881,1.04275,0.60684,0.98876,0.001406,0.001406,0.001406
17,136.776,1.03703,0.62499,0.96759,0.91625,0.88901,0.962,0.69707,1.01196,0.6445,0.97956,0.0013664,0.0013664,0.0013664
18,144.577,1.05743,0.63141,0.97424,0.90657,0.90288,0.96135,0.69814,1.01704,0.58941,0.96951,0.0013268,0.0013268,0.0013268
19,152.38,1.02372,0.59964,0.95948,0.92083,0.90928,0.96934,0.69896,1.03255,0.56231,0.97655,0.0012872,0.0012872,0.0012872
20,160.1,1.01433,0.59534,0.96062,0.89971,0.89648,0.95524,0.68883,1.02086,0.62157,0.97795,0.0012476,0.0012476,0.0012476
21,167.819,1.00699,0.60399,0.96031,0.89893,0.92072,0.96819,0.69429,1.04087,0.57944,0.97641,0.001208,0.001208,0.001208
22,175.544,0.99486,0.59936,0.94968,0.89053,0.91159,0.95694,0.69242,1.02817,0.59843,0.98686,0.0011684,0.0011684,0.0011684
23,183.242,1.00552,0.59629,0.95948,0.9153,0.90181,0.96213,0.71985,0.98134,0.56272,0.96546,0.0011288,0.0011288,0.0011288
24,190.995,0.99175,0.57995,0.95082,0.90243,0.91802,0.96682,0.70488,1.01812,0.5566,0.97523,0.0010892,0.0010892,0.0010892
25,198.691,0.98857,0.57961,0.94784,0.91911,0.91142,0.96939,0.70742,0.99157,0.5402,0.96946,0.0010496,0.0010496,0.0010496
26,206.442,0.97615,0.56578,0.9426,0.89996,0.92636,0.96413,0.71289,1.00249,0.56258,0.96924,0.00101,0.00101,0.00101
27,214.183,0.97834,0.55465,0.94471,0.90054,0.92316,0.96439,0.70747,0.99591,0.55124,0.9679,0.0009704,0.0009704,0.0009704
28,221.873,0.97444,0.54922,0.94574,0.90715,0.91758,0.96415,0.70566,1.01204,0.57042,0.97054,0.0009308,0.0009308,0.0009308
29,229.583,0.96855,0.54393,0.93807,0.9103,0.92059,0.96346,0.71231,0.97685,0.53576,0.96272,0.0008912,0.0008912,0.0008912
30,237.354,0.96563,0.53538,0.94292,0.89485,0.94457,0.96676,0.71355,0.99287,0.52787,0.96352,0.0008516,0.0008516,0.0008516
31,245.118,0.9687,0.54388,0.9361,0.90494,0.90075,0.96014,0.7078,0.99345,0.5381,0.9683,0.000812,0.000812,0.000812
32,252.804,0.95863,0.54519,0.93822,0.90015,0.93328,0.97269,0.73223,0.96712,0.52467,0.95575,0.0007724,0.0007724,0.0007724
33,260.516,0.952,0.54129,0.94145,0.90874,0.93518,0.97434,0.73107,0.97048,0.51209,0.95754,0.0007328,0.0007328,0.0007328
34,268.26,0.9488,0.53302,0.92963,0.90761,0.92636,0.96922,0.72183,0.97158,0.51746,0.95537,0.0006932,0.0006932,0.0006932
35,275.975,0.92661,0.50907,0.93262,0.91176,0.9373,0.97476,0.731,0.96222,0.50584,0.95611,0.0006536,0.0006536,0.0006536
36,283.743,0.91701,0.51326,0.93211,0.89732,0.92423,0.964,0.71914,0.99559,0.54624,0.96682,0.000614,0.000614,0.000614
37,291.393,0.93426,0.51893,0.93635,0.9224,0.91334,0.96389,0.71418,0.99904,0.51623,0.9679,0.0005744,0.0005744,0.0005744
